2023-03-20 10:05:17,191 [http-nio-9092-exec-5] INFO  c.t.aa.controllers.UiSvcController                 - The Consent Creation Request received: UISvcConsentReq(refId=cb7f6cca-9467-444d-91bf-56e11eba6046, accAgg=DataManager(type=AA, name=onemoney), consentReq=ConsentReq(ver=1.1.2, timestamp=Mon Mar 20 10:05:16 UTC 2023, txnid=3636f636-21f9-4ecb-a6ba-4d49741ee972, ConsentDetail=ConsentReq.Detail(consentStart=Mon Mar 20 10:05:16 UTC 2023, consentExpiry=Thu Jun 01 00:00:00 UTC 2023, consentMode=STORE, fetchType=ONETIME, consentTypes=[TRANSACTIONS, PROFILE, SUMMARY], fiTypes=[GST_GSTR1], DataConsumer=DataConsumerFIU(id=GOL0134), Customer=Customer(id=8578983711@onemoney), Purpose=Purpose(code=105, refUri=https://api.rebit.org.in/aa/purpose/105.xml, text=Explicit one-time consent for the accounts, Category=PurposeCategory(type=string)), FIDataRange=FIDataRange(from=Thu Dec 01 00:00:00 UTC 2022, to=Mon Mar 20 10:05:16 UTC 2023), DataLife=DataLife(unit=MONTH, value=3), Frequency=Frequency(unit=DAY, value=1), DataFilter=[DataFilter(type=TRANSACTIONAMOUNT, operator=>=, value=20000)])))
2023-03-20 10:05:17,193 [http-nio-9092-exec-5] INFO  com.technocrats.aa.services.AAService              - Consent Request Processing started for aa: DataManager(type=AA, name=onemoney) with refId: cb7f6cca-9467-444d-91bf-56e11eba6046 from UI Svc
2023-03-20 10:05:18,069 [http-nio-9092-exec-5] INFO  com.technocrats.aa.services.AAService              - Consent Request Completed for aa: DataManager(type=AA, name=onemoney) with refId: cb7f6cca-9467-444d-91bf-56e11eba6046 from UI Svc
2023-03-20 10:05:37,692 [http-nio-9092-exec-6] INFO  c.t.aa.controllers.AAController                    - The Consent Notification Received: ConsentNotification(ver=1.1.2, timestamp=Mon Mar 20 10:05:37 UTC 2023, txnid=7d764aa1-b110-46b8-8149-f2fa003a5fb1, ConsentStatusNotification=ConsentStatusNotification(consentId=c6362d86-785c-4688-9395-c7f01687f309, consentStatus=ACTIVE), Notifier=Notifier(type=AA, id=onemoney))
2023-03-20 10:05:37,794 [http-nio-9092-exec-6] INFO  com.technocrats.aa.services.AAService              - Processing Started for Consent Notification: ConsentNotification(ver=1.1.2, timestamp=Mon Mar 20 10:05:37 UTC 2023, txnid=7d764aa1-b110-46b8-8149-f2fa003a5fb1, ConsentStatusNotification=ConsentStatusNotification(consentId=c6362d86-785c-4688-9395-c7f01687f309, consentStatus=ACTIVE), Notifier=Notifier(type=AA, id=onemoney))
2023-03-20 10:05:38,560 [http-nio-9092-exec-6] INFO  com.technocrats.aa.services.AAService              - Started Session Creation for Consent: c6362d86-785c-4688-9395-c7f01687f309
2023-03-20 10:05:38,561 [http-nio-9092-exec-6] INFO  c.t.a.s.r.impl.GenerateLocalKeysAndNonce           - Local KeyPair Generation START
2023-03-20 10:05:38,586 [http-nio-9092-exec-6] INFO  c.t.a.s.r.impl.GenerateLocalKeysAndNonce           - Local Nonce Generated
2023-03-20 10:05:38,587 [http-nio-9092-exec-6] INFO  c.t.a.s.r.impl.GenerateLocalKeysAndNonce           - Local KeyPair Generation END
2023-03-20 10:05:39,316 [http-nio-9092-exec-6] INFO  c.t.a.s.rules.impl.SendFIDataRequest               - Generated Session Details For Consent : c6362d86-785c-4688-9395-c7f01687f309 -> SessionDetails(ver=1.1.2, timestamp=Mon Mar 20 10:05:39 UTC 2023, txnid=aabbb404-46a8-4c6e-84e8-5263f3e6ea87, consentId=c6362d86-785c-4688-9395-c7f01687f309, sessionId=0762db85-4d31-40b2-ae1d-45ccfca190c3)
2023-03-20 10:05:39,416 [http-nio-9092-exec-6] INFO  com.technocrats.aa.services.AAService              - Completed Session Creation for Consent: c6362d86-785c-4688-9395-c7f01687f309
